Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HT_Code,AT_Code,Outcome,GoalDifference,HomeShotEfficiency,AwayShotEfficiency,HomePossessionProxy,AwayPossessionProxy,total_goals
SP1,2005-08-27,Alaves,Barcelona,0,0,D,0,0,D,5,17,0,10,17,19,3,7,0,1,0,0,0,4,0,0,0.0,0.0,-9,5,0
SP1,2005-08-27,Ath Bilbao,Sociedad,3,0,H,0,0,D,10,9,6,2,13,19,3,4,0,1,0,0,2,31,1,3,0.3,0.0,0,-6,3
SP1,2005-08-27,Valencia,Betis,1,0,H,0,0,D,9,14,2,3,18,14,8,5,2,3,0,0,34,5,1,1,0.11,0.0,-1,5,1
SP1,2005-08-28,Ath Madrid,Zaragoza,0,0,D,0,0,D,16,9,5,2,16,22,8,4,2,7,0,0,3,39,0,0,0.0,0.0,8,-9,0
SP1,2005-08-28,Cadiz,Real Madrid,1,2,A,0,1,A,15,17,5,6,19,25,8,8,2,2,0,0,6,27,-1,-1,0.07,0.12,4,0,3
SP1,2005-08-28,Celta,Malaga,2,0,H,1,0,H,9,10,5,4,19,25,4,11,1,2,0,0,7,22,1,2,0.22,0.0,-6,-4,2
SP1,2005-08-28,Espanol,Getafe,0,2,A,0,0,D,8,16,3,9,23,25,4,2,2,3,0,0,11,12,-1,-2,0.0,0.12,-11,-7,2
SP1,2005-08-28,Mallorca,La Coruna,0,1,A,0,1,A,10,12,3,3,19,19,8,4,2,4,0,0,23,18,-1,-1,0.0,0.08,-1,-3,1
SP1,2005-08-28,Osasuna,Villarreal,2,1,H,1,0,H,8,10,4,3,20,9,2,4,5,2,0,0,26,37,1,1,0.25,0.1,-10,5,3
SP1,2005-08-28,Sevilla,Santander,1,0,H,1,0,H,18,5,5,3,22,27,9,3,2,3,0,0,30,29,1,1,0.06,0.0,5,-19,1
SP1,2005-10-09,Betis,Osasuna,1,0,H,0,0,D,15,12,4,3,21,29,4,1,2,6,0,0,5,26,1,1,0.07,0.0,-2,-16,1
SP1,2005-10-09,La Coruna,Ath Madrid,1,0,H,0,0,D,11,13,5,7,16,22,4,5,2,2,0,0,18,3,1,1,0.09,0.0,-1,-4,1
SP1,2005-10-09,Real Madrid,Celta,2,3,A,2,2,D,26,14,5,5,20,18,6,4,3,1,0,0,27,7,-1,-1,0.08,0.21,12,0,5
SP1,2005-11-09,Barcelona,Mallorca,2,0,H,2,0,H,23,6,7,0,13,20,7,3,2,2,0,2,4,23,1,2,0.09,0.0,17,-11,2
SP1,2005-11-09,Getafe,Ath Bilbao,1,1,D,1,1,D,11,6,4,2,14,19,6,3,2,1,1,0,12,2,0,0,0.09,0.17,3,-10,2
SP1,2005-11-09,Malaga,Espanol,1,2,A,0,0,D,16,6,6,5,16,18,4,4,2,4,0,0,22,11,-1,-1,0.06,0.33,4,-8,3
SP1,2005-11-09,Santander,Cadiz,0,1,A,0,0,D,8,8,2,5,17,12,4,9,1,1,0,0,29,6,-1,-1,0.0,0.12,-5,5,1
SP1,2005-11-09,Sociedad,Alaves,2,1,H,2,0,H,10,8,5,3,27,14,4,8,0,0,0,0,31,0,1,1,0.2,0.12,-13,2,3
SP1,2005-11-09,Villarreal,Sevilla,1,1,D,0,1,A,12,22,3,9,11,15,7,6,3,1,1,0,37,30,0,0,0.08,0.05,8,13,2
SP1,2005-11-09,Zaragoza,Valencia,2,2,D,2,1,H,14,6,7,2,25,20,2,2,1,3,0,0,39,34,0,0,0.14,0.33,-9,-12,4
SP1,2005-09-17,Mallorca,Sociedad,5,2,H,1,2,A,21,7,11,4,11,19,11,6,0,3,0,0,23,31,1,3,0.24,0.29,21,-6,7
SP1,2005-09-17,Valencia,La Coruna,2,2,D,0,1,A,17,11,6,5,22,13,7,3,3,3,1,1,34,18,0,0,0.12,0.18,2,1,4
SP1,2005-09-18,Alaves,Getafe,3,4,A,2,3,A,16,11,5,6,20,25,2,9,2,5,0,0,0,12,-1,-1,0.19,0.36,-2,-5,7
SP1,2005-09-18,Ath Bilbao,Malaga,1,2,A,0,0,D,14,9,6,4,16,14,1,2,2,3,0,0,2,22,-1,-1,0.07,0.22,-1,-3,3
SP1,2005-09-18,Ath Madrid,Barcelona,2,1,H,1,1,D,16,18,6,4,22,17,5,7,2,2,1,0,3,4,1,1,0.12,0.06,-1,8,3
SP1,2005-09-18,Betis,Zaragoza,0,0,D,0,0,D,16,10,4,6,23,21,4,2,2,5,0,0,5,39,0,0,0.0,0.0,-3,-9,0
SP1,2005-09-18,Cadiz,Villarreal,1,1,D,1,1,D,9,9,6,3,19,25,5,2,1,4,0,0,6,37,0,0,0.11,0.11,-5,-14,2
SP1,2005-09-18,Celta,Santander,0,1,A,0,0,D,15,12,2,5,15,28,6,3,1,7,0,0,7,29,-1,-1,0.0,0.08,6,-13,1
SP1,2005-09-18,Espanol,Real Madrid,1,0,H,0,0,D,13,28,2,5,16,16,4,8,2,2,0,2,11,27,1,1,0.08,0.0,1,20,1
SP1,2005-09-18,Osasuna,Sevilla,1,0,H,0,0,D,10,15,5,2,21,26,1,7,3,4,1,1,26,30,1,1,0.1,0.0,-10,-4,1
SP1,2005-09-21,Barcelona,Valencia,2,2,D,1,0,H,10,5,5,4,30,25,7,0,3,2,0,0,4,34,0,0,0.2,0.4,-13,-20,4
SP1,2005-09-21,Getafe,Mallorca,1,1,D,1,0,H,16,12,5,3,24,17,3,4,3,2,0,0,12,23,0,0,0.06,0.08,-5,-1,2
SP1,2005-09-21,La Coruna,Betis,1,1,D,1,1,D,17,11,6,3,21,19,5,1,5,5,0,0,18,5,0,0,0.06,0.09,1,-7,2
